can,could,may,might,must,will
adventure,1,11,0,1,1,0
adventure,3,7,1,0,0,3
adventure,1,1,0,5,0,1
adventure,0,7,0,0,0,1
adventure,2,6,0,3,1,0
adventure,0,15,0,3,2,0
adventure,1,6,0,0,0,1
adventure,1,9,0,6,4,0
adventure,2,11,0,2,0,0
adventure,0,3,0,0,2,7
adventure,2,3,0,3,0,2
adventure,2,4,0,3,1,0
adventure,4,13,0,1,0,0
adventure,2,6,0,1,2,1
adventure,2,6,0,2,0,0
adventure,0,4,1,2,1,1
adventure,4,6,1,2,1,0
adventure,6,7,1,2,2,9
adventure,3,0,0,5,0,2
adventure,4,7,0,3,1,2
adventure,1,3,1,1,1,1
adventure,3,5,0,3,0,1
adventure,0,2,0,2,0,0
adventure,2,2,0,0,2,9
adventure,0,3,0,0,4,1
adventure,0,1,0,1,0,1
adventure,1,5,1,5,0,4
adventure,0,0,0,3,2,3
adventure,1,1,1,0,0,1
belles_lettres,0,3,5,0,1,4
belles_lettres,2,1,6,0,0,1
belles_lettres,10,9,1,1,6,3
belles_lettres,4,2,0,3,2,1
belles_lettres,0,0,4,0,1,2
belles_lettres,0,6,1,4,1,5
belles_lettres,4,1,0,1,0,3
belles_lettres,3,2,3,1,4,1
belles_lettres,5,0,20,2,9,6
belles_lettres,3,3,0,0,2,1
belles_lettres,4,3,5,5,0,5
belles_lettres,5,7,5,2,4,8
belles_lettres,6,0,0,0,2,6
belles_lettres,0,10,1,3,0,1
belles_lettres,1,0,4,1,0,2
belles_lettres,6,0,3,0,1,1
belles_lettres,5,2,3,1,3,2
belles_lettres,3,1,1,1,1,0
belles_lettres,1,0,2,1,6,1
belles_lettres,10,2,2,1,3,6
belles_lettres,3,2,2,1,0,8
belles_lettres,11,3,5,0,8,5
belles_lettres,7,2,3,3,5,10
belles_lettres,11,3,3,2,1,5
belles_lettres,6,0,1,1,2,1
belles_lettres,5,1,1,1,3,3
belles_lettres,0,1,1,1,2,1
belles_lettres,3,0,4,1,0,1
belles_lettres,11,2,8,0,0,4
belles_lettres,4,4,1,1,2,8
belles_lettres,3,3,0,1,0,2
belles_lettres,6,5,1,3,3,2
belles_lettres,9,9,4,3,2,7
belles_lettres,1,2,0,2,2,6
belles_lettres,3,3,3,2,10,16
belles_lettres,3,5,0,3,1,1
belles_lettres,2,9,1,1,1,1
belles_lettres,0,3,3,0,2,0
belles_lettres,1,7,1,2,2,0
belles_lettres,1,3,2,3,0,0
belles_lettres,2,2,0,0,0,0
belles_lettres,6,0,4,0,4,7
belles_lettres,1,0,8,4,3,3
belles_lettres,8,0,16,2,6,9
belles_lettres,6,3,2,1,1,7
belles_lettres,1,0,0,0,1,0
belles_lettres,1,2,5,1,3,10
belles_lettres,0,15,0,2,2,0
belles_lettres,3,2,1,5,5,2
belles_lettres,0,7,2,0,0,0
belles_lettres,2,1,2,1,1,3
belles_lettres,0,3,0,2,0,3
belles_lettres,1,2,1,3,1,1
belles_lettres,0,4,1,0,1,2
belles_lettres,3,1,2,2,1,3
belles_lettres,8,1,11,1,4,8
belles_lettres,2,1,4,1,0,0
belles_lettres,1,3,6,3,3,3
belles_lettres,2,6,1,3,1,1
belles_lettres,1,7,0,0,1,0
belles_lettres,4,1,0,1,4,1
belles_lettres,0,2,2,0,0,2
belles_lettres,2,1,2,0,0,1
belles_lettres,2,1,3,6,2,4
belles_lettres,1,4,4,0,11,0
belles_lettres,1,3,0,0,1,2
belles_lettres,2,3,0,0,3,2
belles_lettres,3,6,7,1,2,1
belles_lettres,7,1,4,1,2,5
belles_lettres,8,4,9,0,1,4
belles_lettres,4,2,1,1,1,2
belles_lettres,1,2,7,4,8,11
belles_lettres,1,0,5,2,5,3
belles_lettres,2,4,1,6,1,6
belles_lettres,1,3,0,2,0,0
editorial,4,2,1,0,1,9
editorial,2,0,5,4,6,7
editorial,6,1,0,3,1,5
editorial,6,2,0,2,2,11
editorial,1,1,8,1,4,11
editorial,4,3,5,1,2,11
editorial,3,1,4,0,6,20
editorial,8,2,0,1,5,8
editorial,3,4,0,1,1,3
editorial,15,3,6,4,0,7
editorial,1,2,1,0,0,18
editorial,3,1,3,2,0,7
editorial,7,4,4,1,0,7
editorial,6,0,4,1,0,7
editorial,7,4,2,0,4,6
editorial,4,2,0,2,1,6
editorial,0,5,5,1,0,19
editorial,6,3,0,3,3,1
editorial,7,5,5,0,3,10
editorial,9,2,4,1,3,12
editorial,0,1,2,4,3,8
editorial,4,3,4,2,2,6
editorial,9,3,3,2,4,6
editorial,2,0,2,0,1,4
editorial,1,1,4,1,1,1
editorial,2,1,6,1,2,12
editorial,4,1,1,1,0,13
fiction,1,6,0,2,0,0
fiction,1,9,0,2,1,3
fiction,2,9,1,0,3,4
fiction,1,2,0,2,7,0
fiction,0,7,0,4,1,1
fiction,0,11,0,5,4,5
fiction,3,2,0,0,0,1
fiction,1,12,0,1,6,2
fiction,3,4,1,0,2,0
fiction,2,2,0,0,3,8
fiction,1,4,0,2,3,0
fiction,1,3,0,0,0,0
fiction,0,8,1,1,3,0
fiction,2,12,0,3,2,2
fiction,0,3,0,0,3,2
fiction,0,3,0,0,1,0
fiction,6,2,0,2,1,9
fiction,0,7,1,0,2,2
fiction,3,11,0,1,1,4
fiction,3,5,2,6,1,4
fiction,4,5,1,0,1,0
fiction,3,5,0,3,2,3
fiction,1,7,1,3,2,3
fiction,0,3,0,2,1,0
fiction,0,6,0,0,1,0
fiction,1,10,0,3,1,1
fiction,0,5,1,1,1,1
fiction,0,4,1,0,1,1
fiction,0,1,0,1,1,0
government,2,0,9,0,8,2
government,23,0,6,1,20,15
government,4,2,8,0,2,5
government,2,0,2,0,0,4
government,0,2,4,1,2,1
government,0,0,0,0,0,10
government,4,4,7,0,2,6
government,2,1,8,0,0,9
government,1,0,13,0,0,4
government,0,0,3,0,0,1
government,4,0,8,0,0,3
government,0,0,17,0,0,1
government,4,9,4,0,5,9
government,0,0,2,1,3,1
government,6,5,13,1,3,20
government,0,2,3,0,1,0
government,1,2,2,2,2,0
government,16,3,5,1,10,11
government,12,4,2,3,4,27
government,2,0,0,0,0,23
government,2,0,2,0,5,8
government,0,0,11,0,0,28
government,6,0,4,0,5,1
government,0,0,28,1,10,4
government,3,1,2,1,3,4
government,1,1,0,0,1,0
government,4,1,2,0,4,19
government,0,0,4,0,2,2
government,0,0,6,1,1,9
government,20,1,4,0,9,17
hobbies,5,1,0,0,1,5
hobbies,0,0,2,1,2,10
hobbies,13,18,1,0,10,13
hobbies,4,0,4,0,2,2
hobbies,4,1,2,0,1,7
hobbies,9,4,11,0,2,6
hobbies,6,0,3,0,4,10
hobbies,12,0,2,0,9,11
hobbies,5,0,0,0,1,1
hobbies,6,1,3,0,0,1
hobbies,0,5,0,0,1,0
hobbies,13,0,6,0,2,6
hobbies,1,0,1,0,0,3
hobbies,10,0,0,1,0,3
hobbies,1,1,4,0,1,10
hobbies,5,1,1,0,0,5
hobbies,16,0,2,2,2,26
hobbies,0,2,5,0,1,7
hobbies,9,0,11,1,4,9
hobbies,27,0,7,0,0,14
hobbies,11,0,32,2,2,10
hobbies,2,3,5,3,4,2
hobbies,5,1,0,0,0,5
hobbies,15,3,0,1,4,18
hobbies,9,1,4,0,3,2
hobbies,0,5,1,1,1,1
hobbies,4,0,5,0,3,2
hobbies,11,0,3,1,0,19
hobbies,6,1,7,0,15,9
hobbies,23,2,3,1,1,8
hobbies,2,1,1,2,0,4
hobbies,5,2,2,0,2,7
hobbies,7,2,5,1,4,3
hobbies,6,0,5,1,1,3
hobbies,17,4,3,0,1,4
hobbies,7,0,2,4,0,23
humor,1,1,1,3,0,0
humor,0,3,0,1,0,1
humor,2,5,1,0,1,0
humor,1,9,0,2,1,0
humor,2,0,4,0,3,1
humor,5,1,1,0,2,1
humor,1,12,0,0,1,0
humor,1,0,0,1,0,2
humor,4,2,1,1,1,8
learned,1,1,3,1,2,7
learned,3,3,1,0,1,1
learned,13,2,1,0,1,4
learned,1,3,2,0,1,3
learned,7,0,2,0,2,8
learned,0,2,0,0,1,0
learned,3,0,7,0,4,2
learned,6,3,8,7,5,4
learned,0,5,0,0,0,2
learned,5,0,7,0,5,10
learned,3,1,3,3,3,4
learned,1,1,4,6,0,0
learned,2,0,11,1,0,2
learned,6,2,6,1,3,4
learned,0,0,2,0,0,0
learned,0,2,2,0,0,0
learned,2,3,8,0,0,0
learned,6,0,3,0,4,6
learned,5,1,7,2,6,0
learned,11,1,4,0,10,12
learned,10,0,0,0,9,3
learned,14,0,6,0,14,13
learned,2,0,0,1,0,1
learned,2,0,2,0,8,3
learned,7,0,7,1,1,1
learned,3,1,3,0,2,3
learned,4,6,1,12,2,0
learned,2,5,0,5,2,0
learned,2,0,5,1,0,3
learned,8,4,7,1,0,2
learned,3,4,5,0,1,0
learned,13,1,0,0,4,5
learned,6,0,7,1,0,20
learned,14,1,6,2,5,15
learned,3,0,7,3,0,11
learned,0,5,1,0,0,2
learned,1,4,4,3,1,2
learned,6,4,8,1,4,2
learned,3,2,3,5,3,6
learned,0,0,6,0,0,22
learned,3,2,9,1,1,1
learned,0,8,0,4,3,5
learned,2,1,6,1,4,2
learned,1,3,2,6,2,2
learned,0,2,2,8,0,2
learned,2,1,5,1,0,3
learned,9,0,13,0,3,4
learned,12,1,6,0,5,2
learned,2,0,6,3,1,4
learned,4,0,5,4,7,7
learned,11,0,4,2,1,2
learned,3,6,2,2,1,2
learned,6,18,0,1,1,0
learned,4,4,4,0,4,3
learned,0,4,2,1,0,0
learned,0,1,4,0,1,0
learned,5,1,1,1,0,1
learned,2,4,1,1,4,1
learned,3,3,1,0,0,2
learned,7,2,7,1,2,4
learned,0,6,2,4,2,2
learned,2,3,4,3,0,5
learned,6,2,1,6,6,2
learned,2,2,1,1,1,3
learned,4,1,3,2,1,0
learned,1,3,3,1,0,0
learned,5,5,15,0,5,3
learned,1,0,3,2,2,0
learned,1,0,23,0,8,20
learned,0,2,0,1,0,1
learned,20,1,3,0,15,24
learned,4,0,4,0,0,0
learned,1,0,1,0,1,10
learned,5,4,1,7,2,2
learned,17,1,4,0,1,6
learned,15,1,3,2,0,1
learned,1,0,6,0,2,6
learned,6,0,7,3,1,10
learned,6,0,13,2,5,9
learned,16,0,0,0,7,6
lore,5,3,8,4,3,1
lore,0,6,0,0,1,1
lore,3,2,7,0,5,2
lore,3,1,1,0,1,1
lore,0,6,0,0,0,0
lore,20,3,5,1,3,9
lore,9,1,19,1,3,4
lore,10,2,4,0,4,4
lore,1,3,1,1,1,1
lore,6,3,1,0,0,4
lore,13,2,20,2,4,14
lore,13,3,9,2,3,6
lore,14,2,22,1,11,13
lore,1,12,1,2,0,1
lore,3,0,2,1,1,2
lore,0,2,1,0,2,2
lore,0,2,2,3,1,0
lore,1,3,2,0,2,5
lore,5,0,2,0,4,7
lore,1,1,0,1,0,2
lore,1,0,5,1,1,1
lore,0,3,1,1,0,0
lore,5,1,5,4,7,8
lore,2,3,0,1,3,0
lore,3,0,1,0,0,4
lore,1,13,0,4,0,0
lore,0,1,13,0,2,9
lore,0,8,0,2,1,1
lore,0,1,0,0,3,3
lore,3,1,3,2,2,0
lore,0,11,2,2,1,0
lore,0,3,0,1,2,3
lore,6,1,10,1,4,4
lore,3,0,0,0,0,0
lore,0,2,0,1,0,0
lore,0,10,0,0,0,1
lore,2,0,4,1,4,6
lore,0,10,1,5,1,0
lore,1,2,4,0,1,3
lore,0,2,0,0,1,3
lore,5,0,0,0,0,16
lore,8,0,1,0,1,4
lore,1,0,2,0,0,0
lore,12,3,0,0,2,13
lore,0,4,0,1,5,0
lore,3,1,5,0,1,5
lore,3,4,1,0,0,5
lore,3,1,5,4,5,10
mystery,2,4,0,3,2,1
mystery,6,5,1,1,0,2
mystery,1,9,0,0,0,1
mystery,0,10,1,1,2,0
mystery,2,4,1,0,0,2
mystery,0,9,0,4,0,0
mystery,1,3,2,3,5,0
mystery,1,7,0,2,1,0
mystery,1,9,0,5,2,0
mystery,0,9,0,7,2,1
mystery,6,10,2,6,1,3
mystery,3,11,1,1,0,1
mystery,4,5,0,1,1,0
mystery,1,3,2,7,2,0
mystery,0,4,0,3,2,4
mystery,1,6,0,1,0,2
mystery,1,5,1,2,2,1
mystery,4,9,0,1,0,0
mystery,0,2,0,1,1,1
mystery,1,4,0,0,0,0
mystery,0,4,2,1,0,3
mystery,3,4,2,1,4,1
mystery,3,4,0,3,4,1
mystery,4,5,0,3,0,1
news,1,0,1,1,3,14
news,3,2,1,0,2,5
news,0,2,2,0,0,6
news,2,1,2,0,2,7
news,2,3,3,3,4,10
news,5,1,2,0,3,11
news,3,2,0,0,0,6
news,5,9,4,4,1,25
news,1,2,0,0,1,3
news,0,1,2,1,5,11
news,2,0,0,0,0,4
news,3,1,0,0,0,5
news,1,0,4,1,0,7
news,1,1,0,0,2,18
news,1,8,9,3,0,5
news,4,0,3,0,1,34
news,5,0,4,0,0,24
news,0,0,3,0,0,29
news,0,0,0,0,2,12
news,0,4,1,0,0,2
news,0,2,1,0,1,1
news,4,2,0,1,0,7
news,2,1,1,0,1,9
news,0,1,2,0,0,10
news,0,1,1,1,0,3
news,3,1,1,0,1,4
news,3,3,1,0,4,9
news,2,3,5,1,2,3
news,1,1,0,1,1,13
news,3,5,0,1,0,4
news,4,1,5,0,0,24
news,5,0,4,0,4,16
news,0,4,0,0,0,5
news,2,3,6,5,0,6
news,2,3,6,1,1,2
news,4,2,1,1,7,2
news,1,5,0,1,0,2
news,4,2,0,0,0,2
news,4,0,1,0,1,4
news,0,5,2,2,0,6
news,1,1,5,7,0,2
news,1,2,0,1,0,0
news,4,0,4,0,0,12
news,5,2,6,2,4,5
religion,8,4,3,1,1,1
religion,13,1,8,0,10,3
religion,0,0,2,1,2,6
religion,5,1,1,2,4,3
religion,4,9,3,1,1,0
religion,9,0,2,1,3,3
religion,6,10,2,0,4,7
religion,3,3,6,1,4,1
religion,4,0,13,0,5,14
religion,7,3,3,0,4,5
religion,7,2,13,1,8,7
religion,1,1,2,1,1,2
religion,8,9,3,1,0,2
religion,3,2,0,1,3,1
religion,1,9,3,0,1,0
religion,5,1,12,0,3,11
religion,0,4,3,1,0,6
reviews,3,1,3,1,0,8
reviews,1,4,6,2,1,4
reviews,1,2,3,1,0,2
reviews,0,2,2,2,1,3
reviews,3,6,1,3,1,3
reviews,2,6,5,2,0,4
reviews,2,3,0,2,0,0
reviews,2,3,2,2,1,0
reviews,1,3,5,1,1,4
reviews,3,0,2,0,1,2
reviews,2,4,1,3,4,0
reviews,3,2,0,2,1,4
reviews,1,2,2,1,1,7
reviews,9,1,3,1,1,1
reviews,5,0,2,1,0,8
reviews,2,1,5,2,4,7
reviews,5,0,5,0,2,4
romance,0,9,0,1,0,0
romance,6,15,0,1,0,0
romance,1,9,0,1,2,2
romance,3,5,0,2,5,1
romance,1,4,1,2,0,1
romance,5,2,0,1,1,0
romance,2,5,3,1,4,1
romance,0,6,0,2,3,1
romance,7,11,0,4,3,4
romance,3,6,3,0,1,2
romance,2,6,0,1,5,3
romance,2,11,0,7,1,0
romance,2,4,0,1,2,7
romance,2,8,0,3,2,2
romance,1,2,0,2,4,3
romance,8,7,0,0,0,1
romance,0,7,1,1,4,4
romance,10,7,1,2,1,1
romance,3,4,0,0,0,1
romance,2,6,0,0,3,1
romance,4,6,1,4,0,1
romance,2,9,0,2,1,3
romance,0,6,1,2,2,1
romance,0,1,0,1,0,2
romance,0,2,0,1,0,0
romance,1,12,0,3,0,0
romance,6,5,0,1,0,3
romance,2,16,0,5,0,0
romance,4,4,0,0,2,4
science_fiction,3,2,0,0,0,0
science_fiction,2,6,1,2,3,4
science_fiction,1,15,2,4,3,6
science_fiction,4,10,1,3,0,3
science_fiction,1,8,0,0,2,1
science_fiction,5,8,0,3,0,3
